Entity,Code,Year,Annual CO2 emissions
Africa,,1751,0
Africa,,1752,0
Africa,,1753,0
Africa,,1754,0
Africa,,1755,0
Africa,,1756,0
Africa,,1757,0
Africa,,1758,0
Africa,,1759,0
Africa,,1760,0
Africa,,1761,0
Africa,,1762,0
Africa,,1763,0
Africa,,1764,0
Africa,,1765,0
Africa,,1766,0
Africa,,1767,0
Africa,,1768,0
Africa,,1769,0
Africa,,1770,0
Africa,,1771,0
Africa,,1772,0
Africa,,1773,0
Africa,,1774,0
Africa,,1775,0
Africa,,1776,0
Africa,,1777,0
Africa,,1778,0
Africa,,1779,0
Africa,,1780,0
Africa,,1781,0
Africa,,1782,0
Africa,,1783,0
Africa,,1784,0
Africa,,1785,0
Africa,,1786,0
Africa,,1787,0
Africa,,1788,0
Africa,,1789,0
Africa,,1790,0
Africa,,1791,0
Africa,,1792,0
Africa,,1793,0
Africa,,1794,0
Africa,,1795,0
Africa,,1796,0
Africa,,1797,0
Africa,,1798,0
Africa,,1799,0
Africa,,1800,0
Africa,,1801,0
Africa,,1802,0
Africa,,1803,0
Africa,,1804,0
Africa,,1805,0
Africa,,1806,0
Africa,,1807,0
Africa,,1808,0
Africa,,1809,0
Africa,,1810,0
Africa,,1811,0
Africa,,1812,0
Africa,,1813,0
Africa,,1814,0
Africa,,1815,0
Africa,,1816,0
Africa,,1817,0
Africa,,1818,0
Africa,,1819,0
Africa,,1820,0
Africa,,1821,0
Africa,,1822,0
Africa,,1823,0
Africa,,1824,0
Africa,,1825,0
Africa,,1826,0
Africa,,1827,0
Africa,,1828,0
Africa,,1829,0
Africa,,1830,0
Africa,,1831,0
Africa,,1832,0
Africa,,1833,0
Africa,,1834,0
Africa,,1835,0
Africa,,1836,0
Africa,,1837,0
Africa,,1838,0
Africa,,1839,0
Africa,,1840,0
Africa,,1841,0
Africa,,1842,0
Africa,,1843,0
Africa,,1844,0
Africa,,1845,0
Africa,,1846,0
Africa,,1847,0
Africa,,1848,0
Africa,,1849,0
Africa,,1850,0
Africa,,1851,0
Africa,,1852,0
Africa,,1853,0
Africa,,1854,0
Africa,,1855,0
Africa,,1856,0
Africa,,1857,0
Africa,,1858,0
Africa,,1859,0
Africa,,1860,0
Africa,,1861,0
Africa,,1862,0
Africa,,1863,0
Africa,,1864,0
Africa,,1865,0
Africa,,1866,0
Africa,,1867,0
Africa,,1868,0
Africa,,1869,0
Africa,,1870,0
Africa,,1871,0
Africa,,1872,0
Africa,,1873,0
Africa,,1874,0
Africa,,1875,0
Africa,,1876,0
Africa,,1877,0
Africa,,1878,0
Africa,,1879,0
Africa,,1880,0
Africa,,1881,0
Africa,,1882,0
Africa,,1883,0
Africa,,1884,0.021984
Africa,,1885,0.03664
Africa,,1886,0.047632
Africa,,1887,0.047632
Africa,,1888,0.080608
Africa,,1889,0.131904
Africa,,1890,0.296784
Africa,,1891,0.296784
Africa,,1892,0.479984
Africa,,1893,1.799024
Africa,,1894,2.432896
Africa,,1895,3.337904
Africa,,1896,4.257568
Africa,,1897,4.777856
Africa,,1898,6.049264
Africa,,1899,5.517984
Africa,,1900,2.330304
Africa,,1901,3.909488
Africa,,1902,5.82576
Africa,,1903,7.89592
Africa,,1904,8.910848
Africa,,1905,10.262864
Africa,,1906,11.717472
Africa,,1907,12.930256
Africa,,1908,13.402912
Africa,,1909,15.385136
Africa,,1910,17.411328
Africa,,1911,16.865392
Africa,,1912,17.9536
Africa,,1913,19.606064
Africa,,1914,19.551104
Africa,,1915,19.606064
Africa,,1916,23.255408
Africa,,1917,25.343888
Africa,,1918,24.724672
Africa,,1919,25.442816
Africa,,1920,28.051584
Africa,,1921,27.985632
Africa,,1922,23.969888
Africa,,1923,29.044528
Africa,,1924,30.63104
Africa,,1925,32.184576
Africa,,1926,34.437936
Africa,,1927,33.840704
Africa,,1928,34.77136
Africa,,1929,35.804608
Africa,,1930,33.697808
Africa,,1931,29.465888
Africa,,1932,26.626288
Africa,,1933,28.494928
Africa,,1934,32.543648
Africa,,1935,35.914528
Africa,,1936,39.0216
Africa,,1937,41.850208
Africa,,1938,44.019296
Africa,,1939,46.858896
Africa,,1940,49.654528
Africa,,1941,54.029344
Africa,,1942,58.829184
Africa,,1943,60.12624
Africa,,1944,66.640832
Africa,,1945,67.534848
Africa,,1946,68.16872
Africa,,1947,67.945216
Africa,,1948,71.744784
Africa,,1949,77.336048
Africa,,1950,87.250832
Africa,,1951,93.124224
Africa,,1952,101.25464
Africa,,1953,102.544368
Africa,,1954,107.128032
Africa,,1955,117.48616
